name;rating;convenience;security;functionality;comment
Театр 53;4.9;3;5;5;Это здание является примером функционального дизайна.
Утятник 23;2.0;3;5;4;Это здание представляет собой типичный образец современной архитектуры.
Теплотрасса 59;0.7;2;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Отель 50;0.8;4;2;3;Это здание очень функционально.
Чердак 7;4.6;2;1;2;Это здание имеет стандартную конструкцию.
Чердак 7;3.7;2;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Музей 85;3.0;2;2;3;Это здание является примером функционального дизайна.
Академия 3;0.9;2;5;2;Это здание является примером функционального дизайна.
Страусятник 65;2.5;5;4;4;Мне нравится дизайн этого здания.
Особняк 94;0.7;1;4;4;Это здание представляет собой типичный образец современной архитектуры.
Офис 44;2.9;1;2;2;Это здание не имеет особых архитектурных особенностей.
Институт 58;4.1;3;3;1;Это здание построено из стандартных строительных материалов.
Цирк 80;0.8;3;1;4;Мне нравится дизайн этого здания.
Страусятник 65;4.3;1;1;2;Это здание представляет собой типичный образец современной архитектуры.
Кладбище 64;2.1;3;2;1;Это здание является примером функционального дизайна.
Развязка 55;3.2;3;1;4;Это здание не имеет особых архитектурных особенностей.
Кафе 58;3.6;3;1;5;Это здание представляет собой типичный образец современной архитектуры.
Торговый центр 89;3.3;1;1;3;Это здание представляет собой типичный образец современной архитектуры.
Мост 61;0.7;2;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Мост 10;4.0;1;2;4;Это здание не имеет особых архитектурных особенностей.
Бомбоубежище 9;4.1;1;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Академия 5;3.7;5;4;3;Это здание построено из стандартных строительных материалов.
Теплотрасса 12;1.2;3;3;1;У этого здания отличная архитектура.
Канализация 73;2.0;2;2;1;Это здание не имеет особых архитектурных особенностей.
Нефтепровод 16;4.2;5;5;4;Это здание не имеет особых архитектурных особенностей.
Тоннель 4;1.6;4;5;2;Мне нравится дизайн этого здания.
